,company_name,location,size,industry,desc,link,reviews_count,salaries_count,jobs_count
0,NCR,"Belgrade, Serbia Area",10000+ Employees,Computer Hardware & Software,"NCR Corporation (NYSE: NCR) is a leader in banking and commerce solutions, powering incredible experiences that make life easier. With its software, hardware, and portfolio of services, NCR enables 760 million transactions daily across financial, retail, hospitality, travel, telecom and technology industries. NCR is headquartered in Atlanta, Ga., with 34,000 employees and does business in 180 countries. NCR is a trademark of NCR Corporation in the United States and other countries.","/Overview/Working-at-NCR-EI_IE4212.11,14.htm",4.4K,3.8K,599
1,Zühlke,"Belgrade, Serbia Area",1001 to 5000 Employees,IT Services,"Zühlke was founded in Switzerland in 1968 and is now owned by partners. The group can draw on experience gained from more than 10,000 software and product development projects. Zühlke serves customers from a wide field of industries - from machinery and plant engineering, to medical technology and the financial sector.

Zühlke will help companies transform their vision from a smart idea into a resounding market success. In doing so, Zühlke covers every phase of the business innovation process and accompanies products and applications from the initial idea through to the implementation and operation.","/Overview/Working-at-Zühlke-EI_IE451902.11,17.htm",117,1,125
2,Microsoft,"Belgrade, Serbia Area",10000+ Employees,Computer Hardware & Software,"Our drive to change the world unites us!

Microsoft is the ideal place for people who have passion for their work and the desire to make an impact—in their careers, in the community and on the world. Microsoft is a unique company; and not just within the tech industry. Here, smart people thrive on their own terms and push their intelligence to its limit. The variety of job opportunities and career advancement at Microsoft is incredible and empowers you to constantly challenge yourself and chart your own course.","/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm",31K,69.5K,3.2K
3,msg global solutions,"Belgrade, Serbia Area",1001 to 5000 Employees,IT Services,"msg global solutions is a systems integrator, software development partner and managed services provider focused on SAP solutions for accounting, finance, regulatory reporting, performance management and customer experience. Operating from offices across the globe and growing, our expert teams help clients achieve operational efficiency and improve decision-making capabilities. While the heart of our expertise is in the financial services sector, our solutions are utilised in a wide range of industries.","/Overview/Working-at-msg-global-solutions-EI_IE690607.11,31.htm",153,29,107
4,Grid Dynamics,"Belgrade, Serbia Area",1001 to 5000 Employees,Enterprise Software & Network Solutions,"Grid Dynamics is a leading provider of technology consulting, agile co-creation, scalable
engineering and data science services for Fortune 500 corporations undergoing digital
transformation.

We work in close collaboration with our clients on digital transformation initiatives that span
strategy consulting, early prototypes and enterprise-scale delivery of new digital platforms.
We help organizations become more agile and create innovative digital products and
experiences using deep expertise in emerging technology, top global engineering talent, lean
software development practices and high-performance product culture.

Headquartered in Silicon Valley with over 1,200 technologists located in engineering delivery
centers throughout the US, Central and Eastern Europe, Grid Dynamics has architected and
delivered some of the largest digital transformation programs in the retail, technology and
financial sectors to help its clients win market share, shorten time to market and reduce
costs of digital operations on a massive scale.

To learn more about Grid Dynamics, visit www.griddynamics.com, or follow us on Twitter
@GridDynamics.","/Overview/Working-at-Grid-Dynamics-EI_IE245799.11,24.htm",197,254,61
5,Endava,"Belgrade, Serbia Area",5001 to 10000 Employees,IT Services,"Endava is a public technology company, with over 18 years of experience of working with some of the world’s leading Finance, Insurance, Telecommunications, Media, Technology, and Retail companies. Through the Digital Evolution, Agile Transformation and Automation solutions, Endava is helping clients be more engaging, responsive and efficient.
 
Endava has 5,573 employees located in offices in North America and Western Europe and delivery centres in Romania, Moldova, Bulgaria, Serbia, Macedonia, Argentina, Uruguay, Venezuela, and Colombia.
 
Along with investing in long-term customer relationships, Endava recognised the importance of providing rewarding and challenging careers for people and, by doing so, has established itself as the employer of choice in certain regions.","/Overview/Working-at-Endava-EI_IE233751.11,17.htm",677,22,35
6,Robert Bosch,"Belgrade, Serbia Area",10000+ Employees,Computer Hardware & Software,"What we do

The Bosch Group is a leading global supplier of technology and services. It employs roughly 403,000 associates worldwide (as of December 31, 2019). According to preliminary figures, the company generated sales of 77.9 billion euros in 2019. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. As a leading IoT company, Bosch offers innovative solutions for smart homes, smart cities, connected mobility, and connected manufacturing. It uses its expertise in sensor technology, software, and services, as well as its own IoT cloud, to offer its customers connected, cross-domain solutions from a single source. The Bosch Group’s strategic objective is to deliver innovations for a connected life. Bosch improves quality of life worldwide with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.”","/Overview/Working-at-Robert-Bosch-EI_IE3353.11,23.htm",8.6K,1.1K,--
7,Hyperoptic,"Belgrade, Serbia Area",1001 to 5000 Employees,"Cable, Internet & Telephone Providers","Hyperoptic is the UK’s largest residential gigabit broadband provider. The company offers the fastest broadband in the UK and is proudly setting a new fibre ‘gold standard’ with unmatched speed, reliability and customer service. Its hyperfast, symmetrical gigabit services are over 21x faster than the average speed a UK consumer receives today. 

Hyperoptic works with property owners, developers and professionals, designing and installing dedicated fibre infrastructure to new buildings and existing developments. Its services are currently available to consumers and businesses across 39 cities and towns across the UK. It aims to have its hyperfast service available to over two million homes by 2021 and five million homes by 2024.","/Overview/Working-at-Hyperoptic-EI_IE990033.11,21.htm",113,1,53
8,Schneider Electric,"Belgrade, Serbia Area",10000+ Employees,Energy,"At Schneider, we believe access to energy and digital is a basic human right. We empower all to make the most of their energy and resources, ensuring Life Is On everywhere, for everyone, at every moment.

We provide energy and automation digital solutions for efficiency and sustainability. We combine world-leading energy technologies, real-time automation, software and services into integrated solutions for Homes, Buildings, Data Centers, Infrastructure and Industries.

We are committed to unleash the infinite possibilities of an open, global, innovative community that is passionate about our  Meaningful Purpose, Inclusive and Empowered values.


-135,000+ employees
-100+ countries
-27.2B Euro in revenue (FY2019)","/Overview/Working-at-Schneider-Electric-EI_IE3956.11,29.htm",7.9K,3.5K,1.4K
9,Nutanix,"Belgrade, Serbia Area",5001 to 10000 Employees,Enterprise Software & Network Solutions,"Nutanix was founded in 2009 and is headquartered in San Jose, California. We are a passionate team of 6000+ employees worldwide. Our people (we call ourselves “Nutants”) are the heartbeat of #LifeAtNutanix and one of the many things that makes Nutanix a great place to work at. 

We share an intellectual curiosity, a bias for action, and an obsession for our customers. We are builders and problem solvers with an entrepreneurial spirit. Above all, we celebrate what makes each of us unique.

We’re growing fast and disrupting the computing industry. Join us and make your mark.","/Overview/Working-at-Nutanix-EI_IE429159.11,18.htm",1.1K,1.7K,365
10,NCR,"Belgrade, Serbia Area",10000+ Employees,Computer Hardware & Software,"NCR Corporation (NYSE: NCR) is a leader in banking and commerce solutions, powering incredible experiences that make life easier. With its software, hardware, and portfolio of services, NCR enables 760 million transactions daily across financial, retail, hospitality, travel, telecom and technology industries. NCR is headquartered in Atlanta, Ga., with 34,000 employees and does business in 180 countries. NCR is a trademark of NCR Corporation in the United States and other countries.","/Overview/Working-at-NCR-EI_IE4212.11,14.htm",4.4K,3.8K,599
11,Zühlke,"Belgrade, Serbia Area",1001 to 5000 Employees,IT Services,"Zühlke was founded in Switzerland in 1968 and is now owned by partners. The group can draw on experience gained from more than 10,000 software and product development projects. Zühlke serves customers from a wide field of industries - from machinery and plant engineering, to medical technology and the financial sector.

Zühlke will help companies transform their vision from a smart idea into a resounding market success. In doing so, Zühlke covers every phase of the business innovation process and accompanies products and applications from the initial idea through to the implementation and operation.","/Overview/Working-at-Zühlke-EI_IE451902.11,17.htm",117,1,125
12,Microsoft,"Belgrade, Serbia Area",10000+ Employees,Computer Hardware & Software,"Our drive to change the world unites us!

Microsoft is the ideal place for people who have passion for their work and the desire to make an impact—in their careers, in the community and on the world. Microsoft is a unique company; and not just within the tech industry. Here, smart people thrive on their own terms and push their intelligence to its limit. The variety of job opportunities and career advancement at Microsoft is incredible and empowers you to constantly challenge yourself and chart your own course.","/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm",31K,69.5K,3.2K
13,msg global solutions,"Belgrade, Serbia Area",1001 to 5000 Employees,IT Services,"msg global solutions is a systems integrator, software development partner and managed services provider focused on SAP solutions for accounting, finance, regulatory reporting, performance management and customer experience. Operating from offices across the globe and growing, our expert teams help clients achieve operational efficiency and improve decision-making capabilities. While the heart of our expertise is in the financial services sector, our solutions are utilised in a wide range of industries.","/Overview/Working-at-msg-global-solutions-EI_IE690607.11,31.htm",153,29,107
14,Grid Dynamics,"Belgrade, Serbia Area",1001 to 5000 Employees,Enterprise Software & Network Solutions,"Grid Dynamics is a leading provider of technology consulting, agile co-creation, scalable
engineering and data science services for Fortune 500 corporations undergoing digital
transformation.

We work in close collaboration with our clients on digital transformation initiatives that span
strategy consulting, early prototypes and enterprise-scale delivery of new digital platforms.
We help organizations become more agile and create innovative digital products and
experiences using deep expertise in emerging technology, top global engineering talent, lean
software development practices and high-performance product culture.

Headquartered in Silicon Valley with over 1,200 technologists located in engineering delivery
centers throughout the US, Central and Eastern Europe, Grid Dynamics has architected and
delivered some of the largest digital transformation programs in the retail, technology and
financial sectors to help its clients win market share, shorten time to market and reduce
costs of digital operations on a massive scale.

To learn more about Grid Dynamics, visit www.griddynamics.com, or follow us on Twitter
@GridDynamics.","/Overview/Working-at-Grid-Dynamics-EI_IE245799.11,24.htm",197,254,61
15,Endava,"Belgrade, Serbia Area",5001 to 10000 Employees,IT Services,"Endava is a public technology company, with over 18 years of experience of working with some of the world’s leading Finance, Insurance, Telecommunications, Media, Technology, and Retail companies. Through the Digital Evolution, Agile Transformation and Automation solutions, Endava is helping clients be more engaging, responsive and efficient.
 
Endava has 5,573 employees located in offices in North America and Western Europe and delivery centres in Romania, Moldova, Bulgaria, Serbia, Macedonia, Argentina, Uruguay, Venezuela, and Colombia.
 
Along with investing in long-term customer relationships, Endava recognised the importance of providing rewarding and challenging careers for people and, by doing so, has established itself as the employer of choice in certain regions.","/Overview/Working-at-Endava-EI_IE233751.11,17.htm",677,22,35
16,Robert Bosch,"Belgrade, Serbia Area",10000+ Employees,Computer Hardware & Software,"What we do

The Bosch Group is a leading global supplier of technology and services. It employs roughly 403,000 associates worldwide (as of December 31, 2019). According to preliminary figures, the company generated sales of 77.9 billion euros in 2019. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. As a leading IoT company, Bosch offers innovative solutions for smart homes, smart cities, connected mobility, and connected manufacturing. It uses its expertise in sensor technology, software, and services, as well as its own IoT cloud, to offer its customers connected, cross-domain solutions from a single source. The Bosch Group’s strategic objective is to deliver innovations for a connected life. Bosch improves quality of life worldwide with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.”","/Overview/Working-at-Robert-Bosch-EI_IE3353.11,23.htm",8.6K,1.1K,--
17,Hyperoptic,"Belgrade, Serbia Area",1001 to 5000 Employees,"Cable, Internet & Telephone Providers","Hyperoptic is the UK’s largest residential gigabit broadband provider. The company offers the fastest broadband in the UK and is proudly setting a new fibre ‘gold standard’ with unmatched speed, reliability and customer service. Its hyperfast, symmetrical gigabit services are over 21x faster than the average speed a UK consumer receives today. 

Hyperoptic works with property owners, developers and professionals, designing and installing dedicated fibre infrastructure to new buildings and existing developments. Its services are currently available to consumers and businesses across 39 cities and towns across the UK. It aims to have its hyperfast service available to over two million homes by 2021 and five million homes by 2024.","/Overview/Working-at-Hyperoptic-EI_IE990033.11,21.htm",113,1,53
18,Schneider Electric,"Belgrade, Serbia Area",10000+ Employees,Energy,"At Schneider, we believe access to energy and digital is a basic human right. We empower all to make the most of their energy and resources, ensuring Life Is On everywhere, for everyone, at every moment.

We provide energy and automation digital solutions for efficiency and sustainability. We combine world-leading energy technologies, real-time automation, software and services into integrated solutions for Homes, Buildings, Data Centers, Infrastructure and Industries.

We are committed to unleash the infinite possibilities of an open, global, innovative community that is passionate about our  Meaningful Purpose, Inclusive and Empowered values.


-135,000+ employees
-100+ countries
-27.2B Euro in revenue (FY2019)","/Overview/Working-at-Schneider-Electric-EI_IE3956.11,29.htm",7.9K,3.5K,1.4K
19,Nutanix,"Belgrade, Serbia Area",5001 to 10000 Employees,Enterprise Software & Network Solutions,"Nutanix was founded in 2009 and is headquartered in San Jose, California. We are a passionate team of 6000+ employees worldwide. Our people (we call ourselves “Nutants”) are the heartbeat of #LifeAtNutanix and one of the many things that makes Nutanix a great place to work at. 

We share an intellectual curiosity, a bias for action, and an obsession for our customers. We are builders and problem solvers with an entrepreneurial spirit. Above all, we celebrate what makes each of us unique.

We’re growing fast and disrupting the computing industry. Join us and make your mark.","/Overview/Working-at-Nutanix-EI_IE429159.11,18.htm",1.1K,1.7K,365
20,NCR,"Belgrade, Serbia Area",10000+ Employees,Computer Hardware & Software,"NCR Corporation (NYSE: NCR) is a leader in banking and commerce solutions, powering incredible experiences that make life easier. With its software, hardware, and portfolio of services, NCR enables 760 million transactions daily across financial, retail, hospitality, travel, telecom and technology industries. NCR is headquartered in Atlanta, Ga., with 34,000 employees and does business in 180 countries. NCR is a trademark of NCR Corporation in the United States and other countries.","/Overview/Working-at-NCR-EI_IE4212.11,14.htm",4.4K,3.8K,599
21,Zühlke,"Belgrade, Serbia Area",1001 to 5000 Employees,IT Services,"Zühlke was founded in Switzerland in 1968 and is now owned by partners. The group can draw on experience gained from more than 10,000 software and product development projects. Zühlke serves customers from a wide field of industries - from machinery and plant engineering, to medical technology and the financial sector.

Zühlke will help companies transform their vision from a smart idea into a resounding market success. In doing so, Zühlke covers every phase of the business innovation process and accompanies products and applications from the initial idea through to the implementation and operation.","/Overview/Working-at-Zühlke-EI_IE451902.11,17.htm",117,1,125
22,Microsoft,"Belgrade, Serbia Area",10000+ Employees,Computer Hardware & Software,"Our drive to change the world unites us!

Microsoft is the ideal place for people who have passion for their work and the desire to make an impact—in their careers, in the community and on the world. Microsoft is a unique company; and not just within the tech industry. Here, smart people thrive on their own terms and push their intelligence to its limit. The variety of job opportunities and career advancement at Microsoft is incredible and empowers you to constantly challenge yourself and chart your own course.","/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm",31K,69.5K,3.2K
23,msg global solutions,"Belgrade, Serbia Area",1001 to 5000 Employees,IT Services,"msg global solutions is a systems integrator, software development partner and managed services provider focused on SAP solutions for accounting, finance, regulatory reporting, performance management and customer experience. Operating from offices across the globe and growing, our expert teams help clients achieve operational efficiency and improve decision-making capabilities. While the heart of our expertise is in the financial services sector, our solutions are utilised in a wide range of industries.","/Overview/Working-at-msg-global-solutions-EI_IE690607.11,31.htm",153,29,107
24,Grid Dynamics,"Belgrade, Serbia Area",1001 to 5000 Employees,Enterprise Software & Network Solutions,"Grid Dynamics is a leading provider of technology consulting, agile co-creation, scalable
engineering and data science services for Fortune 500 corporations undergoing digital
transformation.

We work in close collaboration with our clients on digital transformation initiatives that span
strategy consulting, early prototypes and enterprise-scale delivery of new digital platforms.
We help organizations become more agile and create innovative digital products and
experiences using deep expertise in emerging technology, top global engineering talent, lean
software development practices and high-performance product culture.

Headquartered in Silicon Valley with over 1,200 technologists located in engineering delivery
centers throughout the US, Central and Eastern Europe, Grid Dynamics has architected and
delivered some of the largest digital transformation programs in the retail, technology and
financial sectors to help its clients win market share, shorten time to market and reduce
costs of digital operations on a massive scale.

To learn more about Grid Dynamics, visit www.griddynamics.com, or follow us on Twitter
@GridDynamics.","/Overview/Working-at-Grid-Dynamics-EI_IE245799.11,24.htm",197,254,61
